Start of Term,End of Term,Start Price,start_ticker,End Price,end_ticker,President,House,Senate,Sector,Percent Change
2023-01-20,2025-01-19,141.84,2024-11-15,144.28,2024-12-06,Democratic,Republican,Democratic,Health Care,1.7202481669486729
2001-01-20,2003-01-19,20.33,2002-11-15,20.5,2003-01-17,Republican,Republican,Democratic,Consumer Staples,0.8362026561731515
2003-01-20,2005-01-19,22.97,2004-11-12,23.19,2005-01-14,Republican,Republican,Republican,Consumer Staples,0.9577710056595665
2005-01-20,2007-01-19,25.55,2006-11-10,26.61,2007-01-19,Republican,Republican,Republican,Consumer Staples,4.148727984344418
2007-01-20,2009-01-19,23.48,2008-11-14,22.95,2009-01-16,Republican,Democratic,Democratic,Consumer Staples,-2.2572402044293063
2009-01-20,2011-01-19,28.71,2010-11-12,29.33,2011-01-14,Democratic,Democratic,Democratic,Consumer Staples,2.159526297457323
2011-01-20,2013-01-19,34.41,2012-11-16,36.48,2013-01-18,Democratic,Republican,Democratic,Consumer Staples,6.015693112467307
2013-01-20,2015-01-19,47.76,2014-11-14,49.27,2015-01-16,Democratic,Republican,Democratic,Consumer Staples,3.1616415410385366
2015-01-20,2017-01-19,50.54,2016-11-11,51.52,2017-01-13,Democratic,Republican,Republican,Consumer Staples,1.9390581717451603
2017-01-20,2019-01-19,56.06,2018-11-16,52.45,2019-01-18,Republican,Republican,Republican,Consumer Staples,-6.439529075990009
2019-01-20,2021-01-19,67.53,2020-11-13,65.63,2021-01-15,Republican,Democratic,Republican,Consumer Staples,-2.813564341774035
2021-01-20,2023-01-19,73.52,2022-11-11,74.74,2023-01-13,Democratic,Democratic,Democratic,Consumer Staples,1.6594124047878114
2023-01-20,2025-01-19,79.96,2024-11-15,82.38,2024-12-06,Democratic,Republican,Democratic,Consumer Staples,3.026513256628317
2001-01-20,2003-01-19,23.0,2002-11-15,23.1,2003-01-17,Republican,Republican,Democratic,Financial,0.4347826086956583
2003-01-20,2005-01-19,29.83,2004-11-12,29.74,2005-01-14,Republican,Republican,Republican,Financial,-0.30170968823332167
2005-01-20,2007-01-19,35.8,2006-11-10,36.96,2007-01-19,Republican,Republican,Republican,Financial,3.2402234636871614
2007-01-20,2009-01-19,12.73,2008-11-14,9.68,2009-01-16,Republican,Democratic,Democratic,Financial,-23.95915161036921
2009-01-20,2011-01-19,14.94,2010-11-12,16.72,2011-01-14,Democratic,Democratic,Democratic,Financial,11.914323962516729
2011-01-20,2013-01-19,15.28,2012-11-16,17.15,2013-01-18,Democratic,Republican,Democratic,Financial,12.238219895287953
2013-01-20,2015-01-19,24.06,2014-11-14,23.49,2015-01-16,Democratic,Republican,Democratic,Financial,-2.3690773067331685
2015-01-20,2017-01-19,21.67,2016-11-11,23.51,2017-01-13,Democratic,Republican,Republican,Financial,8.491001384402399
2017-01-20,2019-01-19,26.79,2018-11-16,26.0,2019-01-18,Republican,Republican,Republican,Financial,-2.9488615154908517
2019-01-20,2021-01-19,27.03,2020-11-13,30.94,2021-01-15,Republican,Democratic,Republican,Financial,14.465408805031446
2021-01-20,2023-01-19,35.87,2022-11-11,36.12,2023-01-13,Democratic,Democratic,Democratic,Financial,0.6969612489545582
2023-01-20,2025-01-19,49.87,2024-11-15,50.4,2024-12-06,Democratic,Republican,Democratic,Financial,1.062763184279128
2001-01-20,2003-01-19,15.79,2002-11-15,15.22,2003-01-17,Republican,Republican,Democratic,Technology,-3.6098796706776346
2003-01-20,2005-01-19,21.06,2004-11-12,20.22,2005-01-14,Republican,Republican,Republican,Technology,-3.988603988603988
2005-01-20,2007-01-19,23.09,2006-11-10,23.38,2007-01-19,Republican,Republican,Republican,Technology,1.255954958856644
2007-01-20,2009-01-19,14.81,2008-11-14,14.94,2009-01-16,Republican,Democratic,Democratic,Technology,0.8777852802160634
2009-01-20,2011-01-19,24.34,2010-11-12,26.17,2011-01-14,Democratic,Democratic,Democratic,Technology,7.518488085456047
2011-01-20,2013-01-19,27.66,2012-11-16,29.39,2013-01-18,Democratic,Republican,Democratic,Technology,6.254519161243674
2013-01-20,2015-01-19,41.61,2014-11-14,40.38,2015-01-16,Democratic,Republican,Democratic,Technology,-2.9560201874549312
2015-01-20,2017-01-19,46.73,2016-11-11,49.66,2017-01-13,Democratic,Republican,Republican,Technology,6.27006205863471
2017-01-20,2019-01-19,68.21,2018-11-16,65.35,2019-01-18,Republican,Republican,Republican,Technology,-4.19293358745052
2019-01-20,2021-01-19,121.2,2020-11-13,127.42,2021-01-15,Republican,Democratic,Republican,Technology,5.132013201320131
2021-01-20,2023-01-19,133.14,2022-11-11,130.49,2023-01-13,Democratic,Democratic,Democratic,Technology,-1.9903860597866738
2023-01-20,2025-01-19,228.71,2024-11-15,240.84,2024-12-06,Democratic,Republican,Democratic,Technology,5.303659656333346
2001-01-20,2003-01-19,18.15,2002-11-15,19.71,2003-01-17,Republican,Republican,Democratic,Utilities,8.595041322314064
2003-01-20,2005-01-19,27.82,2004-11-12,27.55,2005-01-14,Republican,Republican,Republican,Utilities,-0.9705248023005018
2005-01-20,2007-01-19,35.91,2006-11-10,36.05,2007-01-19,Republican,Republican,Republican,Utilities,0.38986354775828624
2007-01-20,2009-01-19,28.8,2008-11-14,28.9,2009-01-16,Republican,Democratic,Democratic,Utilities,0.3472222222222148
2009-01-20,2011-01-19,31.34,2010-11-12,31.74,2011-01-14,Democratic,Democratic,Democratic,Utilities,1.2763241863433268
2011-01-20,2013-01-19,34.36,2012-11-16,35.68,2013-01-18,Democratic,Republican,Democratic,Utilities,3.8416763678696166
2013-01-20,2015-01-19,44.94,2014-11-14,48.62,2015-01-16,Democratic,Republican,Democratic,Utilities,8.188696039163329
2015-01-20,2017-01-19,46.03,2016-11-11,48.51,2017-01-13,Democratic,Republican,Republican,Utilities,5.387790571366493
2017-01-20,2019-01-19,54.88,2018-11-16,53.14,2019-01-18,Republican,Republican,Republican,Utilities,-3.170553935860062
2019-01-20,2021-01-19,66.09,2020-11-13,62.99,2021-01-15,Republican,Democratic,Republican,Utilities,-4.690573460432745
2021-01-20,2023-01-19,68.08,2022-11-11,71.33,2023-01-13,Democratic,Democratic,Democratic,Utilities,4.7737955346650995
2023-01-20,2025-01-19,79.25,2024-11-15,79.69,2024-12-06,Democratic,Republican,Democratic,Utilities,0.5552050473186091
