Date,Open,High,Low,Close,Adjusted Close,Volume,Start Date,End Date,President,House,Senate,Sector
2008-10-17,27.27,30.86,25.36,27.41,15.4744,47777700,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-10-10,31.28,32.3,23.28,25.9,14.6219,53773400,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-10-03,34.14,34.14,31.98,32.13,18.1391,31449600,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-09-26,35.01,35.01,33.21,34.42,19.4319,19892900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-09-19,35.37,36.75,33.0,34.78,19.6352,69706400,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-09-12,35.57,36.6,34.9,36.48,20.4186,34252300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-09-05,38.58,38.58,35.2398,35.51,19.8757,20018900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-08-29,37.83,38.4,37.28,37.72,21.1127,12638900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-08-22,37.12,38.03,36.94,37.85,21.1854,15353000,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-08-15,37.38,37.89,36.65,36.97,20.6929,21325300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-08-08,37.1,37.5,36.24,37.32,20.8888,32498700,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-08-01,37.61,38.55,36.9,36.99,20.7041,29895700,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-07-25,38.59,39.6,37.49,37.61,21.0511,35576300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-07-18,40.51,40.96,38.05,38.53,21.566,39622900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-07-11,40.39,41.03,39.75,40.46,22.6463,35925100,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-06-27,41.0,41.5,39.71,39.73,22.2377,26161700,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-06-20,41.16,41.78,40.67,40.67,22.7638,22607000,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-06-13,40.73,41.55,40.55,41.29,22.9388,26051400,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-06-06,41.27,41.69,40.54,40.54,22.5221,21839300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-05-30,40.73,41.74,40.45,41.31,22.9499,11562900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-05-23,40.79,41.98,40.74,40.91,22.7276,16035700,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-05-16,40.04,40.92,40.01,40.78,22.6554,16041000,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-05-09,40.57,40.82,39.56,40.04,22.2443,16517900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-05-02,40.27,41.17,39.65,41.02,22.7888,27289100,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-04-25,40.46,40.688,39.94,40.34,22.411,19288500,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-04-18,39.27,41.0,39.08,40.68,22.5999,18292100,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-04-11,39.27,39.79,39.05,39.27,21.8165,23931300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-04-04,37.75,40.0,37.56,39.17,21.761,28496200,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-03-28,37.7,38.45,37.31,37.63,20.9054,28348900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-03-14,37.64,39.06,37.3,37.9,20.9042,35492500,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-03-07,37.79,38.91,37.35,37.7,20.7939,39391100,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-02-29,39.61,40.0,37.5,37.61,20.7442,34172500,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-02-22,40.26,40.26,38.64,39.42,21.7425,19369000,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-02-15,39.0,40.35,38.84,39.85,21.9797,22098200,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-02-08,40.28,41.21,38.85,39.0,21.5109,27344500,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-02-01,38.2,40.3,38.17,40.24,22.1948,27174600,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-01-25,37.81,40.21,36.05,38.18,21.0586,54757600,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-01-18,43.82,43.87,39.66,40.03,22.079,48521400,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-01-11,42.6,44.11,42.4,43.43,23.9543,41694400,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2008-01-04,42.99,42.99,41.86,42.35,23.3586,19073900,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2007-12-28,43.18,43.31,42.57,42.92,23.673,8675800,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2007-12-21,43.02,43.63,42.61,43.0,23.7171,20871800,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2007-12-14,44.4,44.66,43.01,43.18,23.6366,26933300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2007-12-07,43.44,44.47,42.73,44.18,24.184,28241400,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
2007-11-30,42.05,42.88,41.67,42.73,23.3902,28284300,2007-01-20,2009-01-19,Republican,Democratic,Democratic,Utilities
